F1,F6,F7,F10,F11,class
14.23,2.8,3.06,5.64,1.04,1
13.2,2.65,2.76,4.38,1.05,1
13.16,2.8,3.24,5.68,1.03,1
14.37,3.85,3.49,7.8,0.86,1
13.24,2.8,2.69,4.32,1.04,1
14.2,3.27,3.39,6.75,1.05,1
14.39,2.5,2.52,5.25,1.02,1
14.06,2.6,2.51,5.05,1.06,1
14.83,2.8,2.98,5.2,1.08,1
13.86,2.98,3.15,7.22,1.01,1
14.1,2.95,3.32,5.75,1.25,1
14.12,2.2,2.43,5,1.17,1
13.75,2.6,2.76,5.6,1.15,1
14.75,3.1,3.69,5.4,1.25,1
14.38,3.3,3.64,7.5,1.2,1
13.63,2.85,2.91,7.3,1.28,1
14.3,2.8,3.14,6.2,1.07,1
13.83,2.95,3.4,6.6,1.13,1
14.19,3.3,3.93,8.7,1.23,1
13.64,2.7,3.03,5.1,0.96,1
14.06,3,3.17,5.65,1.09,1
12.93,2.41,2.41,4.5,1.03,1
13.71,2.61,2.88,3.8,1.11,1
12.85,2.48,2.37,3.93,1.09,1
13.5,2.53,2.61,3.52,1.12,1
13.05,2.63,2.68,3.58,1.13,1
13.39,2.85,2.94,4.8,0.92,1
13.3,2.4,2.19,3.95,1.02,1
13.87,2.95,2.97,4.5,1.25,1
14.02,2.65,2.33,4.7,1.04,1
12.37,1.98,0.57,1.95,1.05,2
12.33,2.05,1.09,3.27,1.25,2
12.64,2.02,1.41,5.75,0.98,2
13.67,2.1,1.79,3.8,1.23,2
12.37,3.5,3.1,4.45,1.22,2
12.17,1.89,1.75,2.95,1.45,2
12.37,2.42,2.65,4.6,1.19,2
13.11,2.98,3.18,5.3,1.12,2
12.37,2.11,2,4.68,1.12,2
13.34,2.53,1.3,3.17,1.02,2
12.21,1.85,1.28,2.85,1.28,2
12.29,1.1,1.02,3.05,0.906,2
13.86,2.95,2.86,3.38,1.36,2
13.49,1.88,1.84,3.74,0.98,2
12.99,3.3,2.89,3.35,1.31,2
11.96,3.38,2.14,3.21,0.99,2
11.66,1.61,1.57,3.8,1.23,2
13.03,1.95,2.03,4.6,1.19,2
11.84,1.72,1.32,2.65,0.96,2
12.33,1.9,1.85,3.4,1.06,2
12.7,2.83,2.55,2.57,1.19,2
12,2.42,2.26,2.5,1.38,2
12.72,2.2,2.53,3.9,1.16,2
12.08,2,1.58,2.2,1.31,2
13.05,1.65,1.59,4.8,0.84,2
11.84,2.2,2.21,3.05,0.79,2
12.67,2.2,1.94,2.62,1.23,2
12.16,1.78,1.69,2.45,1.33,2
11.65,1.92,1.61,2.6,1.36,2
11.64,1.95,1.69,2.8,1,2
